id,page,juz,surah,description,start
1,1,Juz 1,1. Al Fathiha,1  Al Fathiha Start,الْحَمْدُ لِلَّهِ رَبِّ
2,2,Juz 1,2. Al Baqara,2 Al Baqara Start,الم ذَلِكَ الْكِتَابُ
3,3,Juz 1,2. Al Baqara,,إِنَّ الَّذِينَ كَفَرُوا
4,4,Juz 1,2. Al Baqara,,مَثَلُهُمْ كَمَثَلِ الَّذِي
5,5,Juz 1,2. Al Baqara,,وَبَشِّرِ الَّذِينَ آمَنُوا
6,6,Juz 1,2. Al Baqara,,وَإِذْ قَالَ رَبُّكَ
7,7,Juz 1,2. Al Baqara,,قُلْنَا اهْبِطُوا مِنْهَا
8,8,Juz 1,2. Al Baqara,,وَإِذْ نَجَّيْنَاكُمْ مِنْ
9,9,Juz 1,2. Al Baqara,,وَإِذْ قُلْنَا ادْخُلُوا
10,10,Juz 1,2. Al Baqara,,إِنَّ الَّذِينَ آمَنُوا
11,11,Juz 1,2. Al Baqara,,قَالُوا ادْعُ لَنَا
12,12,Juz 1,2. Al Baqara,,أَوَلَا يَعْلَمُونَ أَنَّ
13,13,Juz 1,2. Al Baqara,,وَإِذْ أَخَذْنَا مِيثَاقَكُمْ
14,14,Juz 1,2. Al Baqara,,وَلَمَّا جَاءَهُمْ كِتَابٌ
15,15,Juz 1,2. Al Baqara,,قُلْ إِنْ كَانَتْ
16,16,Juz 1,2. Al Baqara,,وَاتَّبَعُوا مَا تَتْلُو
17,17,Juz 1,2. Al Baqara,,مَا نَنْسَخْ مِنْ
18,18,Juz 1,2. Al Baqara,,وَقَالَتِ الْيَهُودُ لَيْسَتِ
19,19,Juz 1,2. Al Baqara,,وَلَنْ تَرْضَى عَنْكَ
20,20,Juz 1,2. Al Baqara,,وَإِذْ يَرْفَعُ إِبْرَاهِيمُ
21,21,Juz 1,2. Al Baqara,Juz 1 End,وَقَالُوا كُونُوا هُودًا
22,22,Juz 2,2. Al Baqara,Juz 2 Start,سَيَقُولُ السُّفَهَاءُ مِنَ
23,23,Juz 2,2. Al Baqara,,الَّذِينَ آتَيْنَاهُمُ الْكِتَابَ
24,24,Juz 2,2. Al Baqara,,وَلَا تَقُولُوا لِمَنْ
25,25,Juz 2,2. Al Baqara,,إِنَّ فِي خَلْقِ
26,26,Juz 2,2. Al Baqara,,وَإِذَا قِيلَ لَهُمُ
27,27,Juz 2,2. Al Baqara,,لَيْسَ الْبِرَّ أَنْ
28,28,Juz 2,2. Al Baqara,,فَمَنْ خَافَ مِنْ
29,29,Juz 2,2. Al Baqara,,أُحِلَّ لَكُمْ لَيْلَةَ
30,30,Juz 2,2. Al Baqara,,وَاقْتُلُوهُمْ حَيْثُ ثَقِفْتُمُوهُمْ
31,31,Juz 2,2. Al Baqara,,الْحَجُّ أَشْهُرٌ مَعْلُومَاتٌ
32,32,Juz 2,2. Al Baqara,,وَاذْكُرُوا اللَّهَ فِي
33,33,Juz 2,2. Al Baqara,,سَلْ بَنِي إِسْرَائِيلَ
34,34,Juz 2,2. Al Baqara,,كُتِبَ عَلَيْكُمُ الْقِتَالُ
35,35,Juz 2,2. Al Baqara,,فِي الدُّنْيَا وَالْآخِرَةِ
36,36,Juz 2,2. Al Baqara,,لَا يُؤَاخِذُكُمُ اللَّهُ
37,37,Juz 2,2. Al Baqara,,وَإِذَا طَلَّقْتُمُ النِّسَاءَ
38,38,Juz 2,2. Al Baqara,,وَالَّذِينَ يُتَوَفَّوْنَ مِنْكُمْ
39,39,Juz 2,2. Al Baqara,,حَافِظُوا عَلَى الصَّلَوَاتِ
40,40,Juz 2,2. Al Baqara,,أَلَمْ تَرَ إِلَى
41,41,Juz 2,2. Al Baqara,Juz 2 End,فَلَمَّا فَصَلَ طَالُوتُ
42,42,Juz 3,2. Al Baqara,Juz 3 Start,تِلْكَ الرُّسُلُ فَضَّلْنَا
43,43,Juz 3,2. Al Baqara,,اللَّهُ وَلِيُّ الَّذِينَ
44,44,Juz 3,2. Al Baqara,,وَإِذْ قَالَ إِبْرَاهِيمُ
45,45,Juz 3,2. Al Baqara,,وَمَثَلُ الَّذِينَ يُنْفِقُونَ
46,46,Juz 3,2. Al Baqara,,وَمَا أَنْفَقْتُمْ مِنْ
47,47,Juz 3,2. Al Baqara,,الَّذِينَ يَأْكُلُونَ الرِّبَا
48,48,Juz 3,2. Al Baqara,,يَاأَيُّهَا الَّذِينَ آمَنُوا
49,49,Juz 3,2. Al Baqara,,وَإِنْ كُنْتُمْ عَلَى
50,50,Juz 3,2. Al Baqara,,الم اللَّهُ لَا
51,51,Juz 3,2. Al Baqara,2 Al Baqara End,إِنَّ الَّذِينَ كَفَرُوا
52,52,Juz 3,3. Aal-e-Imran,3 Aal-e-Imran Start,الَّذِينَ يَقُولُونَ رَبَّنَا
53,53,Juz 3,3. Aal-e-Imran,,أَلَمْ تَرَ إِلَى
