mushaf_id,page_number,juz_number,start_text
1,1,1,"الْحَمْدُ لِلَّهِ رَبِّ"
1,2,1,"الم ذَلِكَ الْكِتَابُ"
1,3,1,"إِنَّ الَّذِينَ كَفَرُوا"
1,4,1,"مَثَلُهُمْ كَمَثَلِ الَّذِي"
1,5,1,"وَبَشِّرِ الَّذِينَ آمَنُوا"
1,6,1,"وَإِذْ قَالَ رَبُّكَ"
1,7,1,"قُلْنَا اهْبِطُوا مِنْهَا"
1,8,1,"وَإِذْ نَجَّيْنَاكُمْ مِنْ"
1,9,1,"وَإِذْ قُلْنَا ادْخُلُوا"
1,10,1,"إِنَّ الَّذِينَ آمَنُوا"
1,11,1,"قَالُوا ادْعُ لَنَا"
1,12,1,"أَوَلَا يَعْلَمُونَ أَنَّ"
1,13,1,"وَإِذْ أَخَذْنَا مِيثَاقَكُمْ"
1,14,1,"وَلَمَّا جَاءَهُمْ كِتَابٌ"
1,15,1,"قُلْ إِنْ كَانَتْ"
1,16,1,"وَاتَّبَعُوا مَا تَتْلُو"
1,17,1,"مَا نَنْسَخْ مِنْ"
1,18,1,"وَقَالَتِ الْيَهُودُ لَيْسَتِ"
1,19,1,"وَلَنْ تَرْضَى عَنْكَ"
1,20,1,"وَإِذْ يَرْفَعُ إِبْرَاهِيمُ"
1,21,1,"وَقَالُوا كُونُوا هُودًا"
1,22,2,"سَيَقُولُ السُّفَهَاءُ مِنَ"
1,23,2,"الَّذِينَ آتَيْنَاهُمُ الْكِتَابَ"
1,24,2,"وَلَا تَقُولُوا لِمَنْ"
1,25,2,"إِنَّ فِي خَلْقِ"
1,26,2,"وَإِذَا قِيلَ لَهُمُ"
1,27,2,"لَيْسَ الْبِرَّ أَنْ"
1,28,2,"فَمَنْ خَافَ مِنْ"
1,29,2,"أُحِلَّ لَكُمْ لَيْلَةَ"
1,30,2,"وَاقْتُلُوهُمْ حَيْثُ ثَقِفْتُمُوهُمْ"
1,31,2,"الْحَجُّ أَشْهُرٌ مَعْلُومَاتٌ"
1,32,2,"وَاذْكُرُوا اللَّهَ فِي"
1,33,2,"سَلْ بَنِي إِسْرَائِيلَ"
1,34,2,"كُتِبَ عَلَيْكُمُ الْقِتَالُ"
1,35,2,"فِي الدُّنْيَا وَالْآخِرَةِ"
1,36,2,"لَا يُؤَاخِذُكُمُ اللَّهُ"
1,37,2,"وَإِذَا طَلَّقْتُمُ النِّسَاءَ"
1,38,2,"وَالَّذِينَ يُتَوَفَّوْنَ مِنْكُمْ"
1,39,2,"حَافِظُوا عَلَى الصَّلَوَاتِ"
1,40,2,"أَلَمْ تَرَ إِلَى"
1,41,2,"فَلَمَّا فَصَلَ طَالُوتُ"
1,42,3,"تِلْكَ الرُّسُلُ فَضَّلْنَا"
